# Monte Carlo Simulation - GeoStudio SLOPE/W + SEEP/W
# Generated   : 2026-03-23 02:41:56
# Input file  : E:\Github\MCP_Geostudio\Metro-Center.gsz
# Iterations  : 500
# Random seed : 42
# Solver      : C:\Program Files\Seequent\GeoStudio 2024.2\Bin\GeoCmd.exe
# Execution   : Sequential (chained SEEP/W -> SLOPE/W per iteration)
#
# --- Soil Parameter Distributions ---
# CohesionPrime = Lognormal | PhiPrime = Normal (min 1 deg)
# Reference    : Phoon & Kulhawy (1999), Duncan (2000)
#
# SC (Silty Clay): c_mean=198.4 psf  COV=35% | phi_mean=20.0 deg  COV=10%
# AWYC (Weathered Yazoo Clay in Active Zone): c_mean=79.3 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# WYC (Weathered Yazoo Clay): c_mean=248.5 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# UYC (Unweathered Yazoo Clay): c_mean=384.2 psf  COV=30% | phi_mean=20.0 deg  COV=8%
#
# --- Rainfall Distribution ---
# Lognormal | COV = 35% | Zero points fixed
#   Day 4: baseline = 0.01 in/day
#   Day 5: baseline = 0.61 in/day
#   Day 6: baseline = 0.01 in/day
#   Day 8: baseline = 1.0 in/day
#   Day 9: baseline = 0.08 in/day
#
# --- Column Units ---
# cohesion = psf | phi = degrees | rainfall = in/day | FS = dimensionless
#
iter,SC_cohesion_psf,SC_phi_deg,AWYC_cohesion_psf,AWYC_phi_deg,WYC_cohesion_psf,WYC_phi_deg,UYC_cohesion_psf,UYC_phi_deg,rainfall_day4_in_per_day,rainfall_day5_in_per_day,rainfall_day6_in_per_day,rainfall_day8_in_per_day,rainfall_day9_in_per_day,FS_Slope_Stability,FS_FS
84,191.5697,20.2299,180.185,21.0221,137.0446,20.3227,502.8656,19.2043,0.009451,0.665451,0.005641,0.435835,0.094543,1.60311,1.372942
85,108.28,16.3358,87.853,17.8973,119.0847,22.669,512.1295,17.9639,0.008636,0.453856,0.01111,0.810265,0.067146,1.390607,0.974744
86,210.3856,16.778,53.7191,20.2807,415.6045,18.3557,462.4645,21.9815,0.009049,0.72799,0.015,1.700047,0.081578,1.48136,0.925063
87,189.7926,16.5651,64.7301,18.4359,290.5655,18.1259,342.6449,18.7991,0.007266,0.70478,0.012659,1.777567,0.084411,1.397583,0.928803
88,202.829,21.8916,55.2376,19.4821,236.3207,22.2338,381.4382,20.2094,0.006394,0.574556,0.007824,0.915549,0.041286,1.448196,0.910814
89,182.8504,22.4958,58.2442,18.0351,494.9584,21.1494,336.7835,21.2842,0.009168,0.590936,0.010828,0.610427,0.047243,1.365347,0.884571
90,205.6194,20.4456,38.7664,18.6247,356.2572,16.0979,443.1999,18.4498,0.006388,0.751302,0.005069,0.746325,0.116306,1.308762,0.776012
91,116.3743,20.1943,48.1065,16.1963,404.2038,20.799,276.095,16.9633,0.013712,0.843934,0.009512,0.797156,0.112403,1.188077,0.766067
92,268.288,19.9188,86.4162,17.9988,186.4615,16.7498,369.583,19.674,0.00686,0.693381,0.005719,0.623432,0.054078,1.425667,1.01143
93,209.4633,20.7288,68.855,16.0527,656.8335,16.8366,312.6494,19.956,0.016136,1.04475,0.011423,1.050015,0.03818,1.282865,0.860778
94,189.7745,16.8282,126.5331,22.5904,319.217,18.6893,250.8712,22.6443,0.010881,0.662759,0.010587,1.068637,0.071823,1.800194,1.319386
95,140.7518,18.5357,57.8314,19.0143,185.21,16.7026,393.0238,18.9107,0.004822,1.120461,0.016368,0.661213,0.066987,1.382737,0.913888
96,106.0978,18.7194,43.5045,16.555,137.6813,21.0741,329.5772,20.6408,0.005982,0.483481,0.014917,1.013302,0.119443,1.17867,0.746113
97,139.2089,16.9687,66.4357,16.8604,274.9269,21.3146,350.5833,16.3615,0.005272,0.593794,0.015303,0.945588,0.073985,1.284035,0.878923
98,125.5514,23.5998,46.7044,24.6376,121.2996,19.9843,286.3389,17.7761,0.007085,0.223323,0.014161,1.117963,0.067704,1.501287,1.015283
99,126.5925,23.5528,72.9959,17.7809,186.5463,17.4542,387.6318,21.6874,0.007898,0.49111,0.011513,0.959745,0.114807,1.385198,0.942319
100,168.4491,15.5096,67.7808,21.022,246.7553,18.5528,251.3905,20.0926,0.014403,0.495469,0.008477,0.774019,0.056671,1.537713,1.031423
101,127.9576,22.8086,75.1151,20.1295,124.7262,18.8298,353.5866,22.5686,0.006583,0.576632,0.004842,0.8914,0.057883,1.414281,1.033618
102,154.6452,18.7646,67.691,20.6166,246.2931,19.6429,281.137,21.346,0.015195,0.710433,0.007206,1.012826,0.081437,1.522242,1.021723
103,115.4006,20.387,32.6876,17.3013,222.96,17.8807,381.5187,20.2516,0.00881,0.62817,0.01173,0.684969,0.062435,1.191306,0.696452
104,157.2189,19.9011,63.7455,16.2235,300.013,17.9935,237.5264,18.1118,0.007237,0.436528,0.007965,0.615057,0.109725,1.265801,0.843666
105,109.9621,21.3532,75.6799,18.0257,200.1945,19.9623,470.1675,19.3382,0.008428,0.237906,0.011835,2.070197,0.075151,1.385853,0.952648
106,199.6664,18.3805,181.0704,20.2736,243.6709,16.21,214.3852,15.5789,0.006623,0.513121,0.006661,1.985227,0.158819,1.574308,1.410832
107,330.683,19.8217,55.5754,21.2989,192.4732,16.7186,503.2519,21.3564,0.013015,0.768226,0.011768,1.0839,0.051235,1.472729,0.968691
108,191.6186,21.7835,86.6561,22.6849,169.7712,14.4788,459.4715,21.8349,0.01201,0.785493,0.004964,0.495254,0.091009,1.34983,1.10526
109,95.3801,17.7323,47.6339,21.8937,121.9661,21.2986,382.4856,19.6781,0.01105,0.324831,0.009898,1.355695,0.112386,1.487352,0.934652
110,134.7559,19.9039,54.447,19.3264,181.0465,19.9455,341.1532,15.6323,0.010329,0.684987,0.010592,0.995764,0.084971,1.396956,0.900874
111,307.3638,20.8877,94.7507,20.6795,236.3731,16.5522,381.8191,21.7914,0.007642,0.603831,0.011481,0.73353,0.101991,1.575204,1.149335
112,254.2307,19.1978,78.9669,15.5462,275.4923,17.4527,334.3432,20.0106,0.008341,0.755547,0.011445,0.810535,0.049937,1.294732,0.888715
113,215.6578,17.2203,62.7487,19.2369,465.3022,12.7399,465.3552,21.394,0.013157,0.420985,0.00822,0.911657,0.043816,1.45681,0.949518
114,175.0522,20.1312,49.055,15.6171,223.8187,19.2427,441.334,22.648,0.015943,0.382874,0.005961,1.1469,0.07499,1.167997,0.75506
115,199.9828,17.9442,66.6606,23.2823,184.3624,18.6327,400.4057,20.887,0.01457,0.787693,0.005802,1.180356,0.063803,1.547873,1.104372
116,401.4179,20.7299,42.2729,17.0197,332.8249,11.6295,533.6581,18.6916,0.010026,0.341643,0.009732,0.472787,0.079695,1.228886,0.751626
117,148.5386,17.6222,99.2534,18.3739,339.6168,19.2773,316.5341,20.3211,0.013184,0.385791,0.009099,0.501507,0.064955,1.48829,1.060172
118,117.3419,20.7902,51.0575,19.4109,218.0184,13.7816,589.5057,19.7468,0.012338,0.652849,0.011658,0.900816,0.079186,1.305193,0.881003
119,360.1466,22.4893,124.0904,18.3844,146.8773,17.1716,387.7606,22.348,0.012999,0.714181,0.012999,1.084402,0.081039,1.469334,1.13878
120,223.6288,19.3496,82.2296,16.084,239.9774,21.0445,414.7906,22.7914,0.012706,0.394106,0.005995,0.978493,0.065447,1.343608,0.922859
121,193.5742,21.8511,84.5275,24.4383,222.9056,23.818,476.7612,20.0879,0.009844,0.788295,0.009156,0.762226,0.064606,1.849714,1.24662
122,297.1366,21.3027,37.6155,20.8558,287.781,16.3117,334.5765,19.2852,0.019186,0.408575,0.007606,0.586536,0.07545,1.44319,0.836148
123,343.9069,21.212,75.5897,17.2389,371.368,17.8567,216.7267,19.2603,0.00439,0.754701,0.009149,1.624365,0.061648,1.389297,0.934343
124,153.3965,21.825,120.1749,18.1019,257.5539,17.5205,317.3372,19.7591,0.011686,0.70357,0.015671,1.268705,0.031809,1.568646,1.14793
125,280.0855,19.3211,98.6235,21.0523,179.5196,19.083,525.0215,21.3959,0.007794,0.48882,0.006829,0.966394,0.062651,1.589774,1.181146
126,154.902,21.1565,64.3985,17.4158,313.8753,20.0433,442.4004,17.322,0.00441,0.737104,0.006479,0.811699,0.095157,1.340116,0.889858
127,254.9814,19.6638,135.7469,21.4035,255.2838,20.234,329.1024,17.7648,0.011874,0.44838,0.00827,0.801262,0.071058,1.792414,1.363204
128,165.5476,23.649,54.8858,25.3884,412.7163,19.3862,487.5486,20.7056,0.01048,0.323029,0.010959,1.350464,0.045219,1.802098,1.094028
129,234.9755,20.157,88.9638,19.5763,399.4708,19.7102,351.8233,19.2676,0.009031,0.382327,0.006439,1.147519,0.055624,1.591892,1.081442
130,158.1366,18.536,111.515,17.3626,436.1669,16.6376,424.1236,21.2149,0.011903,0.525805,0.008821,0.868739,0.122666,1.483009,1.082699
131,261.5804,19.8278,80.4329,14.9306,138.9165,18.6816,470.9561,21.575,0.010171,0.28374,0.011216,0.805095,0.071682,1.261846,0.873443
132,218.2828,21.3859,54.38,18.4716,125.9741,18.2919,256.2346,20.2942,0.01152,0.469846,0.010413,0.900305,0.046613,1.335548,0.874772
133,236.1351,20.2534,118.7063,18.0836,609.5418,19.9645,284.6956,21.2288,0.009404,0.401872,0.00593,1.011148,0.095098,1.606882,1.161959
134,174.9907,20.8534,59.7466,22.8091,183.7726,12.8235,295.3185,19.2044,0.007231,0.455697,0.012038,0.85307,0.095206,1.274003,1.030291
135,292.8556,17.4671,47.2644,18.7621,323.0614,18.5533,424.6329,21.4278,0.010555,0.546223,0.010327,1.257983,0.098714,1.365253,0.83636
136,180.738,18.7623,74.6504,18.8274,273.4378,16.676,418.8142,16.1793,0.005756,0.351226,0.005186,1.103337,0.046001,1.458677,0.988401
137,214.0161,19.0386,54.9288,19.1084,127.7298,19.4952,234.8318,20.0449,0.008305,0.875738,0.008806,0.968788,0.121167,1.394467,0.897482
138,217.0275,18.5351,49.1698,20.9942,176.3513,17.9578,423.2344,23.3233,0.005801,0.699708,0.017831,0.638841,0.098793,1.462206,0.916887
